id,text,score 
6495,'Trump Resurrects His Claim That Both Sides Share Blame in Charlottesville Violence',QRY
6333,After Charlottesville  Black Republican Gives Trump a History Lesson on Racism',1
3548,Gary Cohn  Trumps Adviser  Said to Have Drafted Resignation Letter After Charlottesville',0.980158
2277,Trump Comments on Race Open Breach With C.E.O.s  Military and G.O.P.',0.909965
2340,Defiant  Trump Laments Assault on Culture and Revives a Bogus Pershing Story',0.804681
1733,'Trumps Remarks on Charlottesville Violence Are Criticized as Insufficient',0.763836
2210,'Jewish Trump Staff Silent on His Defense of Rally With Anti-Semitic Marchers',0.7092
3041,At Rally  Trump Blames Media for Countrys Deepening Divisions',0.70604
6169,'Congress Passes Measure Challenging Trump to Denounce Hate Groups',0.672687
1790,'White House Acts to Stem Fallout From Trumps First Charlottesville Remarks',0.657003
6858,'Is Trump a White Supremacist?',0.634008
9785,'A Very Taxing President',0.630681
2327,'Morning Agenda: Debating Gary Cohns Future in Washington',0.615228
3984,'Two Bankers Are Selling Trumps Tax Plan. Is Congress Buying?',0.6137
3798,Does Trump Represent U.S. Values? The President Speaks for Himself Tillerson Says',0.609136
3183,Different Day Different Audience and a Completely Different Trump',0.602613
2256,'Trumps Fighting Words on Charlottesville',0.58626
1685,Trump Tower a Home for Celebrities and Charlatans',0.579907
2778,Bannon  Spain Eclipse: Your Weekend Briefing',0.577195
6641,'More Classmates of Treasury Secretary Hound Him to Quit Trump Post',0.572252
3713,'Behold Our Child King',0.568026
2315,'Republicans in Congress May Be Stuck in a Relationship With Trump',0.565743
2729,A Deal Breaker for Trumps Supporters? Nope. Not This Time Either.',0.565503
1891,'New Outcry as Trump Rebukes Charlottesville Racists 2 Days Later',0.555501
6252,'Trump Goes All In on a Tax Overhaul Whose Details Remain Unwritten',0.554887
4166,'How to Get Rich in Trumps Washington',0.550555
10571,Trumps Scandals a List',0.550488
3104,'Business Groups Court White House Even After C.E.O. Defections',0.548023
3112,McConnell  in Private Doubts if Trump Can Save Presidency',0.541489
2389,'How the Media Captured Charlottesville and Its Aftermath',0.54026
